,name,dynamic_input_vars,dynamic_state_vars,dynamic_output_vars,throttle,w,k_parasitic,fan_name,fan_n_frac,fan_dp_design,fan_w_design,filt_name,filt_w,filt_k_loss,dp_parasitic,sum_dp,fan_dp_fan,filt_dp_filter,index
0,airfilter-diagonal-mirror,[],[],[],0.1,0.07998720977810492,0.1,fan-bipartite-instructor,0.1,100,2,filter-free-layout,0.07998720977810492,50,0.0006397953728086563,-2.8427805354169777e-07,4.000000000000001,3.999360488905246,0
1,airfilter-diagonal-mirror,[],[],[],0.1,0.07998720977810492,0.1,fan-bipartite-instructor,0.1,100,2,filter-free-layout,0.07998720977810492,50,0.0006397953728086563,-2.8427805354169777e-07,4.000000000000001,3.999360488905246,1
2,airfilter-diagonal-mirror,[],[],[],0.2,0.3197954617518205,0.1,fan-bipartite-instructor,0.2,100,2,filter-free-layout,0.3197954617518205,50,0.010226913735706009,-1.3267271725680985e-09,16.000000000000004,15.989773087591026,2
3,airfilter-diagonal-mirror,[],[],[],0.2,0.3197954617518205,0.1,fan-bipartite-instructor,0.2,100,2,filter-free-layout,0.3197954617518205,50,0.010226913735706009,-1.3267271725680985e-09,16.000000000000004,15.989773087591026,3
4,airfilter-diagonal-mirror,[],[],[],0.30000000000000004,0.7189661754773159,0.1,fan-bipartite-instructor,0.30000000000000004,100,2,filter-free-layout,0.7189661754773159,50,0.05169123614804786,-1.0013835094468959e-08,36.00000000000001,35.9483087738658,4
5,airfilter-diagonal-mirror,[],[],[],0.30000000000000004,0.7189661754773159,0.1,fan-bipartite-instructor,0.30000000000000004,100,2,filter-free-layout,0.7189661754773159,50,0.05169123614804786,-1.0013835094468959e-08,36.00000000000001,35.9483087738658,5
6,airfilter-diagonal-mirror,[],[],[],0.4,1.2767398713730853,0.1,fan-bipartite-instructor,0.4,100,2,filter-free-layout,1.2767398713730853,50,0.16300646991537626,-3.85696239391109e-08,64.00000000000001,63.836993568654265,6
7,airfilter-diagonal-mirror,[],[],[],0.4,1.2767398713730853,0.1,fan-bipartite-instructor,0.4,100,2,filter-free-layout,1.2767398713730853,50,0.16300646991537626,-3.85696239391109e-08,64.00000000000001,63.836993568654265,7
8,airfilter-diagonal-mirror,[],[],[],0.5,1.992063369149758,0.1,fan-bipartite-instructor,0.5,100,2,filter-free-layout,1.992063369149758,50,0.39683164667082854,-1.0415872964131268e-07,100.0,99.6031684574879,8
9,airfilter-diagonal-mirror,[],[],[],0.5,1.992063369149758,0.1,fan-bipartite-instructor,0.5,100,2,filter-free-layout,1.992063369149758,50,0.39683164667082854,-1.0415872964131268e-07,100.0,99.6031684574879,9
10,airfilter-diagonal-mirror,[],[],[],0.6,2.8635995992582486,0.1,fan-bipartite-instructor,0.6,100,2,filter-free-layout,2.8635995992582486,50,0.8200202664872003,-2.2939963173485012e-07,144.0,143.17997996291243,10
11,airfilter-diagonal-mirror,[],[],[],0.6,2.8635995992582486,0.1,fan-bipartite-instructor,0.6,100,2,filter-free-layout,2.8635995992582486,50,0.8200202664872003,-2.2939963173485012e-07,144.0,143.17997996291243,11
12,airfilter-diagonal-mirror,[],[],[],0.7000000000000001,3.889739856361217,0.1,fan-bipartite-instructor,0.7000000000000001,100,2,filter-free-layout,3.889739856361217,50,1.5130076150164982,-4.330773322180903e-07,196.00000000000003,194.48699281806086,12
13,airfilter-diagonal-mirror,[],[],[],0.7000000000000001,3.889739856361217,0.1,fan-bipartite-instructor,0.7000000000000001,100,2,filter-free-layout,3.889739856361217,50,1.5130076150164982,-4.330773322180903e-07,196.00000000000003,194.48699281806086,13
14,airfilter-diagonal-mirror,[],[],[],0.8,5.068618233376445,0.1,fan-bipartite-instructor,0.8,100,2,filter-free-layout,5.068618233376445,50,2.5690890795716155,-7.48393830463101e-07,256.00000000000006,253.43091166882226,14
15,airfilter-diagonal-mirror,[],[],[],0.8,5.068618233376445,0.1,fan-bipartite-instructor,0.8,100,2,filter-free-layout,5.068618233376445,50,2.5690890795716155,-7.48393830463101e-07,256.00000000000006,253.43091166882226,15
16,airfilter-diagonal-mirror,[],[],[],0.9,6.398127918282585,0.1,fan-bipartite-instructor,0.9,100,2,filter-free-layout,6.398127918282585,50,4.093604085870704,5.684341886080802e-14,324.0,319.90639591412923,16
17,airfilter-diagonal-mirror,[],[],[],0.9,6.398127918282585,0.1,fan-bipartite-instructor,0.9,100,2,filter-free-layout,6.398127918282585,50,4.093604085870704,5.684341886080802e-14,324.0,319.90639591412923,17
18,airfilter-diagonal-mirror,[],[],[],1.0,7.875939164552535,0.1,fan-bipartite-instructor,1.0,100,2,filter-free-layout,7.875939164552535,50,6.203041772373249,0.0,400.0,393.79695822762676,18
19,airfilter-diagonal-mirror,[],[],[],1.0,7.875939164552535,0.1,fan-bipartite-instructor,1.0,100,2,filter-free-layout,7.875939164552535,50,6.203041772373249,0.0,400.0,393.79695822762676,19
